"Cluster_2","Cluster_4","Cluster_5"
"PALM2AKAP2","MT-CO2","AHNAK"
"TACC1",NA,"SPTBN1"
"LMO7",NA,"MACF1"
"HSPA5",NA,"DST"
"CAV1",NA,"SFTPC"
"RPS3A",NA,"EEF1A1"
"RPL13",NA,"SFTPA2"
"EMP2",NA,"SFTPA1"
"RPL27A",NA,"TPT1"
"SPTAN1",NA,"A2M"
"EPAS1",NA,"CD74"
"RPLP2",NA,NA
"RPL27",NA,NA
"RPLP1",NA,NA
"CEACAM6",NA,NA
"QKI",NA,NA
"RPS18",NA,NA
"TNS1",NA,NA
"TJP1",NA,NA
"RPLP0",NA,NA
"RPS8",NA,NA
"COL3A1",NA,NA
"RPS24",NA,NA
"RPS6",NA,NA
"RPL9",NA,NA
"PECAM1",NA,NA
"RPL8",NA,NA
"UTRN",NA,NA
"LIFR",NA,NA
"RPL13A",NA,NA
"LIMCH1",NA,NA
"TTN",NA,NA
"RPL31",NA,NA
"IGKC",NA,NA
"SCGB3A1",NA,NA
"RPL23",NA,NA
"DPYSL2",NA,NA
"RPL11",NA,NA
"PIGR",NA,NA
"TIMP3",NA,NA
"CD46",NA,NA
"RACK1",NA,NA
"TGFBR2",NA,NA
"ZEB2",NA,NA
"MAL2",NA,NA
"IGHG1",NA,NA
"ITGA1",NA,NA
"RPS20",NA,NA
"RPL37A",NA,NA
"CALCRL",NA,NA
"BMPR2",NA,NA
"RPL37",NA,NA
"SYNE1",NA,NA
"RPS27",NA,NA
"IGHA1",NA,NA
"TRAM1",NA,NA
"GUCY1A2",NA,NA
"CLTC",NA,NA
"PABPC1",NA,NA
"CD63",NA,NA
"HSP90B1",NA,NA
"CANX",NA,NA
"RPS12",NA,NA
"RPS4X",NA,NA
"LRRFIP1",NA,NA
"RPL7A",NA,NA
"RPS16",NA,NA
"SCGB3A2",NA,NA
"ASPH",NA,NA
"RPS14",NA,NA
"RPL6",NA,NA
"RPL41",NA,NA
"RPL7",NA,NA
"RPL19",NA,NA
"COL1A2",NA,NA
"RPL35A",NA,NA
"LUM",NA,NA
"RPS15A",NA,NA
"RPS11",NA,NA
"RPL4",NA,NA
"MYO1B",NA,NA
"RPL30",NA,NA
"JCHAIN",NA,NA
"RPL3",NA,NA
"CTSH",NA,NA
"S100A6",NA,NA
"SPARCL1",NA,NA
"HLA-E",NA,NA
"ARHGEF12",NA,NA
"HSP90AB1",NA,NA
"FLNA",NA,NA
"MYH9",NA,NA
"GPRC5A",NA,NA
"AHR",NA,NA
"RPS3",NA,NA
"CALM1",NA,NA
"NFIA",NA,NA
"RPS25",NA,NA
"TMEM123",NA,NA
"HSPA8",NA,NA
"RPL5",NA,NA
"AKAP13",NA,NA
"VIM",NA,NA
"PCM1",NA,NA
"RPS23",NA,NA
"ZFP36L1",NA,NA
"AQP4",NA,NA
"ADH1B",NA,NA
"LPCAT1",NA,NA
"VMP1",NA,NA
"COL6A3",NA,NA
"DYNC1H1",NA,NA
"MSN",NA,NA
"MYH11",NA,NA
"HSP90AA1",NA,NA
"CYBRD1",NA,NA
"GNAS",NA,NA
"MRC1",NA,NA
"YWHAZ",NA,NA
"CAST",NA,NA
"DDX3X",NA,NA
"HIPK3",NA,NA
"RPL15",NA,NA
"IGFBP7",NA,NA
"CALD1",NA,NA
"HLA-DPA1",NA,NA
"LRRK2",NA,NA
"MATR3",NA,NA
"HLA-B",NA,NA
"GLS",NA,NA
"ANXA1",NA,NA
"STEAP4",NA,NA
"KCTD12",NA,NA
"HNRNPA2B1",NA,NA
"TMBIM6",NA,NA
"SON",NA,NA
"C3",NA,NA
"PLS3",NA,NA
"MYL6",NA,NA
"SYNE2",NA,NA
"KMT2C",NA,NA
"RMRP",NA,NA
"HLA-DRA",NA,NA
"RGS5",NA,NA
"SLC34A2",NA,NA
"APLP2",NA,NA
